ID,Internal Id,Name,Codes,Allowed,Banned
1,1,Cannon,"A, B, C, D, E, *","A, B, C, *","D, E"
2,2,HiCannon,"H, I, J, K, L, *","H, I, J, K, L, *",
3,3,M-Cannon,"O, P, Q, R, S","O, Q, R, S",P
4,4,AirShot1,*,*,
5,5,AirShot2,*,*,
6,6,AirShot3,*,*,
7,7,LavaCan1,"A, G, S, T, V","A, G, S, T",V
8,8,LavaCan2,"B, D, F, M, O","D, F, M, O",B
9,9,LavaCan3,"E, H, J, R, W","E, H, J, R, W",
10,114,Volcano,"A, G, J, Y, Z","A, G, Y","J, Z"
11,10,ShotGun,"B, F, J, N, T","B, J, T","F, N"
12,11,V-Gun,"D, G, L, P, V","D, L","G, P, V"
13,12,SideGun,"C, H, M, S, Y","M, S","C, H, Y"
14,13,Spreader,"M, N, O, P, Q, *","M, N, O, P, Q, *",
15,14,Bubbler,"A, C, D, E, P","A, C, D, E",P
16,15,Bub-V,"D, E, F, S, V","D, E, F, S, V",
17,16,BublSide,"B, E, F, G, R","E, F, G, R",B
18,17,HeatShot,"B, H, I, J, P","B, H, I, J",P
19,18,Heat-V,"F, I, J, K, V","F, I, J, K, V",
20,19,HeatSide,"C, J, K, L, T","J, K, L, T",C
21,20,MiniBomb,"B, G, L, O, S, *","B, L, S, *","G, O"
22,21,SnglBomb,"D, F, H, J, T, *","H, J, T, *","D, F"
23,22,DublBomb,"A, C, H, K, Q, *","A, H, Q, *","C, K"
24,23,TrplBomb,"E, I, N, P, W","E, N, W","I, P"
25,24,CannBall,"A, D, F, L, P, *","D, F, L, *","A, P"
26,25,IceBall,"F, I, M, Q, S, *","M, *","F, I, Q, S"
27,26,LavaBall,"B, C, H, N, W, *","B, H, *","C, N, W"
28,27,BlkBomb1,"F, L, N, P, Z","N, P","F, L, Z"
29,28,BlkBomb2,"D, I, K, Q, S","K, S","D, I, Q"
30,29,BlkBomb3,"C, G, L, U, Y",L,"C, G, U, Y"
31,30,Sword,"E, H, L, S, Y","E, L, S, Y",H
32,31,WideSwrd,"C, E, L, Q, Y","C, E, L, Y",Q
33,32,LongSwrd,"E, I, L, R, Y","E, L, R, Y",I
34,33,FireSwrd,"F, N, P, R, U","F, N, P, R, U",
35,34,AquaSwrd,"A, H, N, P, T","A, H, N, P, T",
36,35,ElecSwrd,"E, K, N, P, V","N, P, V","E, K"
37,36,BambSwrd,"B, L, N, P, W","N, P","B, L, W"
38,37,CustSwrd,"B, F, R, V, Z","B, V, Z","F, R"
39,38,VarSwrd,"B, C, D, E, F","B, D, E, F",C
40,42,AirSwrd,"C, E, H, J, R, *","H, R","C, E, J, *"
41,39,StepSwrd,"L, M, N, O, P","L, M, N, O, P",
42,40,StepCros,"P, Q, R, S, T","P, Q, R, S",T
43,43,Slasher,"B, D, G, R, S","B, D, S","G, R"
44,44,ShockWav,"D, H, J, L, R","H, J, L","D, R"
45,45,SonicWav,"G, I, M, S, W","G, M, W","I, S"
46,46,DynaWave,"E, N, Q, T, V","E, N, V","Q, T"
47,113,BigWave,"E, J, M, P, Y","J, M, Y","E, P"
48,47,GutPunch,"B, C, D, E, F","B, C, D, E, F",
49,48,GutStrgt,"O, P, Q, R, S","O, P, Q, R, S",
50,49,GutImpct,"G, H, I, J, K","G, H, I, J",K
51,53,DashAtk,"C, D, G, J, Z, *","D, G, J, Z, *",C
52,54,Burner,"B, F, Q, S, W","B, F, Q, W",S
53,115,Condor,"B, I, L, S, Z","B, I, L, Z",S
54,116,Burning,"A, F, L, R, S","F, L, S","A, R"
55,66,ZapRing1,"A, M, P, Q, S","A, M, P, Q, S",
56,67,ZapRing2,"B, G, N, R, W","G, N, R, W",B
57,68,ZapRing3,"C, E, O, T, Z","C, E, O, Z",T
58,90,IceWave1,"A, K, M, Q, W, *","A, M, Q, W, *",K
59,91,IceWave2,"D, H, L, P, R, *","D, H, L, R, *",P
60,92,IceWave3,"C, D, J, R, V","C, R, V","D, J"
61,69,Yo-Yo1,"C, D, E, F, G","C, D, E, F, G",
62,70,Yo-Yo2,"H, I, J, K, L","H, I, J, L",K
63,71,Yo-Yo3,"M, N, O, P, Q","M, N, O, P",Q
64,50,AirStrm1,"A, F, H, O, S","A, H, O, S",F
65,51,AirStrm2,"C, G, H, M, W","C, M, W","G, H"
66,52,AirStrm3,"A, G, I, N, V","A, G, V","I, N"
67,96,Arrow1,"B, E, M, Q, T","B, M, Q, T",E
68,97,Arrow2,"F, R, S, U, Z","F, R, U, Z",S
69,98,Arrow3,"A, H, J, N, P","A, J, N, P",H
70,58,Ratton1,"A, C, F, H, J","A, C, F, H, J",
71,59,Ratton2,"A, C, F, N, O","A, C, F, N, O",
72,60,Ratton3,"A, C, F, R, S","A, C, F, R, S",
73,117,FireRatn,"B, F, H, M, Y","F, H","B, M, Y"
74,61,Wave,"E, I, L, S, T","I, L, S, T",E
75,62,RedWave,"B, F, J, R, U","B, J, U","F, R"
76,63,MudWave,"D, G, M, V, Z","G, M, Z","D, V"
77,65,Tornado,"C, L, R, T, U","L, T, U","C, R"
78,72,Spice1,"B, D, I, S, Z, *","D, S, Z, *","B, I"
79,73,Spice2,"C, F, I, K, R","F, I, K, R",C
80,74,Spice3,"D, F, J, O, Q","D, F, J, O, Q",
81,110,Shake1,"E, G, R, S, U","E, G, R, S",U
82,111,Shake2,"B, F, I, L, Q","I, L, Q","B, F"
83,112,Shake3,"D, M, R, T, Z","D, M, T, Z",R
84,148,NoBeam1,"C, F, G, K, W","C, G, K, W",F
85,149,NoBeam2,"E, I, S, U, Y","E, S, U","I, Y"
86,150,NoBeam3,"H, M, V, W, Z","H, V, W, Z",M
87,64,Hammer,"B, G, L, P, T, *","B, P, T, *","G, L"
88,107,Geyser,"B, C, L, S, W","B, C, W","L, S"
89,78,Rope1,"D, G, J, M, O, *","G, J, M, O, *",D
90,79,Rope2,"E, G, O, T, U","E, O, T, U",G
91,80,Rope3,"H, I, T, U, V","I, T, U, V",H
92,84,Boomer1,"F, H, J, M, T, *","F, J, M, T, *",H
93,85,Boomer2,"E, I, K, N, V, *","E, I, V, *","K, N"
94,86,Boomer3,"L, O, P, U, Z","L, O, P, Z",U
95,108,PoisMask,"A, F, N, Q, V, *","A, N, Q, *","F, V"
96,109,PoisFace,"A, N, Q, V, W, *","A, N, Q, *","V, W"
97,145,RockArm1,"D, H, J, O, P, *","D, J, P, *","H, O"
98,146,RockArm2,"G, M, P, S, V, *","G, P, S, V, *",M
99,147,RockArm3,"C, I, L, T, Z","C, T, Z","I, L"
100,104,CrsShld1,"A, C, H, L, P, *","C, L, P, *","A, H"
101,105,CrsShld2,"B, C, L, S, T","C, L, T","B, S"
102,106,CrsShld3,"C, E, L, N, R","C, L, R","E, N"
103,81,Magnum1,"A, C, H, T, V","A, C, H, T, V",
104,82,Magnum2,"B, G, N, O, Z","B, G, N, Z",O
105,83,Magnum3,"D, F, I, S, W","D, I, S","F, W"
106,93,Plasma1,"B, D, J, R, T","B, J, R, T",D
107,94,Plasma2,"A, G, K, M, Q","G, K, M","A, Q"
108,95,Plasma3,"F, I, N, P, S","F, N, P","I, S"
109,87,RndmMetr,"E, I, S, V, Z","E, I, S, V, Z",
110,88,HoleMetr,"C, H, J, N, Q","C, H, J, N",Q
111,89,ShotMetr,"A, D, F, S, Y","A, D, F, Y",S
112,154,Needler1,"I, J, M, R, S","M, R, S","I, J"
113,155,Needler2,"F, H, M, T, V","F, T, V","H, M"
114,156,Needler3,"D, L, O, U, Z","L, O, U","D, Z"
115,55,Totem1,"G, H, M, O, V","G, H, M, O, V",
116,56,Totem2,"A, C, E, T, Z","A, C, E, T, Z",
117,57,Totem3,"D, I, K, N, Q","D, I, K, N, Q",
118,101,Sensor1,"C, K, L, O, P","K, L, P","C, O"
119,102,Sensor2,"A, G, H, N, S","A, G, N, S",H
120,103,Sensor3,"B, E, J, O, P","B, E, O, P",J
121,133,MetaGel1,"B, C, D, K, Y","B, C, D, Y",K
122,134,MetaGel2,"E, F, G, P, S","E, F, G, P, S",
123,135,MetaGel3,"G, H, S, T, U","S, T, U","G, H"
124,151,Pawn,"B, E, N, R, Y","B, E, N, Y",R
125,152,Knight,"C, H, M, U, V","C, H, U, V",M
126,153,Rook,"D, F, N, Q, U, *","D, F, Q, *","N, U"
127,132,Team1,"A, C, E, T, Z, *","E, T, Z, *","A, C"
