ID	Internal ID	Name	Codes	Allowed	Banned
1	1	Cannon	A, B, C, *	A, B, C, *	
2	2	HiCannon	C, D, E	C, D, E	
3	3	M-Cannon	E, F, G	E, F, G	
4	4	AirShot	A, S, V, *	A, *	S, V
5	15	Vulcan1	E, S, V, *	S, V, *	E
6	16	Vulcan2	B, H, O	B, H	O
7	17	Vulcan3	O, T, W	O, T, W	
8	18	Spreader	L, M, N, *	L, M, N, *	
9	19	HeatShot	B, C, D, *	B, C, D	*
10	20	Heat-V	C, D, E	C, D, E	
11	21	HeatSide	D, E, F	D, E, F	
12	22	Bubbler	P, Q, R, *	P, Q, R	*
13	23	Bub-V	C, D, E	C, D, E	
14	24	BublSide	D, E, F	D, E, F	
15	57	Thunder1	B, L, P, *	B, L, *	P
16	58	Thunder2	H, P, S	H, P, S	
17	59	Thunder3	I, T, W	I, T, W	
18	9	WideSht1	C, D, E, *	C, D, E	*
19	10	WideSht2	L, M, N	L, M, N	
20	11	WideSht3	S, T, U	S, T, U	
21	12	FlmLine1	F, G, H, *	F, G, H, *	
22	13	FlmLine2	D, E, F	D, E, F	
23	14	FlmLine3	J, K, L	J, K, L	
24	32	GunSol1	A, G, M, *	G	A, M, *
25	33	GunSol2	B, G, S	G	B, S
26	34	GunSol3	C, G, T	G	C, T
27	5	Blizzard	H, J, V, *	J, V, *	H
28	6	HeatBrth	D, K, O, *	D, K, O, *	
29	42	ElecShok	J, L, S, *	J, L, S, *	
30	43	WoodPwdr	F, T, W, *	T, W, *	F
31	47	SandRing	C, R, S, *	R, *	C, S
32	69	TwnFng1	A, B, C, *	A, B, C	*
33	70	TwnFng2	O, P, Q	O, P, Q	
34	71	TwnFng3	F, G, H	F, G, H	
35	25	ElemFlar	K, N, P	N, P	K
36	26	ElemIce	H, Q, V	Q, V	H
37	126	ElemLeaf	C, D, I	C, D, I	
38	128	ElemSand	A, L, S, *	A, L	S, *
39	35	MagBolt1	B, C, D, *	B, C, D	*
40	36	MagBolt2	E, F, G	E, F, G	
41	37	MagBolt3	A, B, C	A, B, C	
42	8	Tornado	E, L, T	L, T	E
43	27	Static	B, G, Z, *	G, Z, *	B
44	29	MiniBomb	B, L, T, *	B, L, T, *	
45	30	EnergBom	E, N, T, *	E, N, T	*
46	31	MegEnBom	D, J, W	D, J, W	
47	44	Ball	B, T, V, *	B, T, V	*
48	46	BlkBomb	D, H, Z	D, H, Z	
49	45	Geyser	B, L, V	B, L	V
50	41	BugBomb	B, G, Z, *	B, G, *	Z
51	38	Binder1	C, O, S, *	O, S, *	C
52	39	Binder2	A, T, Y	A, T, Y	
53	40	Binder3	E, I, O	E, I, O	
54	48	Sword	E, L, S	E, S	L
55	49	WideSwrd	E, L, S	E, S	L
56	50	LongSwrd	E, L, S	E, L, S	
57	51	WideBlde	C, K, S	C, K, S	
58	52	LongBlde	G, R, S	G, R, S	
59	54	CustSwrd	B, P, S	B, P, S	
60	55	VarSwrd	C, J, V	C, J, V	
61	56	Slasher	F, H, R	R	F, H
62	53	WindRack	A, L, R, *	A, *	L, R
63	63	AirHoc1	D, E, F, *	D, E, F	*
64	64	AirHoc2	I, J, K	I, J, K	
65	65	AirHoc3	U, V, W	U, V, W	
66	60	Counter1	F, M, T, *	F, M, T	*
67	61	Counter2	B, H, L, *	B, H, L	*
68	62	Counter3	A, N, V	A, N, V	
69	75	Boomer1	L, M, N, *	L, M, N, *	
70	76	Boomer2	L, M, N	L, M, N	
71	77	Boomer3	S, T, U	S, T, U	
72	78	SidBmbo1	B, I, R, *	I, R, *	B
73	79	SidBmbo2	H, O, S	H, O, S	
74	80	SidBmbo3	A, F, U	A, F, U	
75	81	Lance	A, G, R, *	A, G	R, *
76	72	WhitWeb1	D, L, R, *	L, R, *	D
77	73	WhitWeb2	C, E, Y, *	C, Y, *	E
78	74	WhitWeb3	K, O, V, *	K, O, *	V
79	130	MokoRus1	C, I, M	C, M	I
80	131	MokoRus2	G, K, U	G, K, U	
81	132	MokoRus3	O, T, Y	O, T, Y	
82	66	CircGun1	H, T, Z	T, Z	H
83	67	CircGun2	D, G, T	G, T	D
84	68	CircGun3	J, M, R	M, R	J
85	96	Snake	D, M, R	D, M, R	
86	94	Magnum	H, Q, V	H, Q, V	
87	104	BigHamr1	B, O, R	O, R	B
88	105	BigHamr2	G, J, W	G, J, W	
89	106	BigHamr3	D, V, Z	D, V, Z	
90	85	BoyBomb1	E, J, M	J, M	E
91	86	BoyBomb2	I, S, W	I, W	S
92	87	BoyBomb3	G, T, V	G, T	V
